timestamp,home_team_name,away_team_name,home_team_goal_count,away_team_goal_count
1733427000,Fulham,Brighton & Hove Albion,3,1
1733429700,AFC Bournemouth,Tottenham Hotspur,1,0
1733583600,Aston Villa,Southampton,1,0
1733583600,Brentford,Newcastle United,4,2
1733583600,Crystal Palace,Manchester City,2,2
1733592600,Manchester United,Nottingham Forest,2,3
1733666400,Fulham,Arsenal,1,1
1733666400,Ipswich Town,AFC Bournemouth,1,2
1733666400,Leicester City,Brighton & Hove Albion,2,2
1733675400,Tottenham Hotspur,Chelsea,3,4
1733774400,West Ham United,Wolverhampton Wanderers,2,1
1734188400,Arsenal,Everton,0,0
1734188400,Liverpool,Fulham,2,2
1734188400,Newcastle United,Leicester City,4,0
1734188400,Wolverhampton Wanderers,Ipswich Town,1,2
1734197400,Nottingham Forest,Aston Villa,2,1
1734271200,Brighton & Hove Albion,Crystal Palace,1,3
1734280200,Manchester City,Manchester United,1,2
1734289200,Chelsea,Brentford,2,1
1734289200,Southampton,Tottenham Hotspur,0,5
1734379200,AFC Bournemouth,West Ham United,1,1
1734784200,Aston Villa,Manchester City,2,1
1734793200,Brentford,Nottingham Forest,0,2
1734793200,Ipswich Town,Newcastle United,0,4
1734793200,West Ham United,Brighton & Hove Albion,1,1
1734802200,Crystal Palace,Arsenal,1,5
1734876000,Everton,Chelsea,0,0
1734876000,Fulham,Southampton,0,0
1734876000,Leicester City,Wolverhampton Wanderers,0,3
1734876000,Manchester United,AFC Bournemouth,0,3
1734885000,Tottenham Hotspur,Liverpool,3,6
1735216200,Manchester City,Everton,1,1
1735225200,AFC Bournemouth,Crystal Palace,0,0
1735225200,Chelsea,Fulham,1,2
1735225200,Newcastle United,Aston Villa,3,0
1735225200,Nottingham Forest,Tottenham Hotspur,1,0
1735225200,Southampton,West Ham United,0,1
1735234200,Wolverhampton Wanderers,Manchester United,2,0
1735243200,Liverpool,Leicester City,3,1
1735327800,Brighton & Hove Albion,Brentford,0,0
1735330500,Arsenal,Ipswich Town,1,0
1735482600,Leicester City,Manchester City,0,2
1735484400,Crystal Palace,Southampton,2,1
1735484400,Everton,Nottingham Forest,0,2
1735484400,Fulham,AFC Bournemouth,2,2
